"Protein","Gene","Description","GeneSymbol","Ctrl.Rep1","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"O75531","BAF_HUMAN","Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]","BANF1",8.66,8.39,8.52,8.56,8.2,8.38,8.55,8.59,6.74,6.48,6.8,4,-0.1,7.99022297323068,-0.83,0.43,0.79,-4.66,1.86063041313941
"Q15050","RRS1_HUMAN","Ribosome biogenesis regulatory protein homolog","RRS1",8.82,7.84,7.42,8.32,7.9,7.77,7.68,8.06,6.59,7.75,6.97,4,-0.25,7.73674442044796,-0.83,0.43,0.79,-4.66,0.999877168311583
"P49368","TCPG_HUMAN","T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (hTRiC5)","CCT3",7.74,8.62,8.97,8.53,8.52,8.44,9,8.64,7.05,6.87,6.94,5,0.19,8.12010877632405,0.82,0.43,0.79,-4.66,1.70006405702525
"Q9BXJ9","NAA15_HUMAN","N-alpha-acetyltransferase 15, NatA auxiliary subunit (Gastric cancer antigen Ga19) (N-terminal acetyltransferase) (NMDA receptor-regulated protein 1) (Protein tubedown-1) (Tbdn100)","NAA15",6.26,6.46,6.24,6.55,6.56,6.31,6.55,6.48,5.52,5.5,5.51,1,0.09,6.17621282286131,0.82,0.43,0.79,-4.66,0.965199955024368
"P50990","TCPQ_HUMAN","T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)","CCT8",7.63,8.37,8.51,8.32,8.31,8.23,8.53,8.39,7.03,6.48,7,4,0.16,7.89252544858252,0.82,0.43,0.79,-4.66,1.52835292552994
"O43776","SYNC_HUMAN","Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)","NARS",6.56,7.11,7.18,6.93,6.71,7.14,7.51,7.09,5.42,4.89,5.47,2,0.17,6.5465526010337,0.82,0.43,0.79,-4.66,1.85209286477853
"Q12972","PP1R8_HUMAN","Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8) [Includes: Activator of RNA decay (EC 3.1.4.-) (ARD-1)]","PPP1R8",4.9,5.69,5.9,5.84,5.77,5.99,5.69,5.68,3.59,4.5,4.14,2,0.2,5.24405726541656,0.82,0.43,0.79,-4.66,1.70754892556605
"Q15005","SPCS2_HUMAN","Signal peptidase complex subunit 2 (EC 3.4.-.-) (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit)","SPCS2",7.7,7.75,7.63,7.64,7.48,7.64,7.58,7.6,6.07,5.53,6.04,2,-0.11,7.15204443868523,-0.82,0.43,0.79,-4.66,1.80080338674394
"O15014","ZN609_HUMAN","Zinc finger protein 609","ZNF609",5.95,6.57,6.68,7.08,6.76,7.02,6.31,6.93,3.91,4.05,4.03,1,0.18,5.93525522334205,0.81,0.43,0.79,-4.66,2.75819849597645
"O15144","ARPC2_HUMAN","Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)","ARPC2",8.86,9.1,9.27,9.11,9.08,9.11,9.33,9.19,7.6,7.42,7.37,8,0.09,8.67605041519057,0.81,0.44,0.79,-4.66,1.71457695963363
"P23526","SAHH_HUMAN","Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)","AHCY",9.86,10.28,10.82,10.41,10.39,10.39,10.7,10.45,8.45,8.38,8.31,11,0.14,9.85876786391392,0.81,0.44,0.79,-4.67,2.10260903365334
"P14923","PLAK_HUMAN","Junction plakoglobin (Catenin gamma) (Desmoplakin III) (Desmoplakin-3)","JUP",10.4,10.42,10.47,10.49,10.53,10.68,10.37,10.51,8.95,9.16,9.02,11,0.08,10.0916851143143,0.81,0.44,0.79,-4.67,1.48285933084921
"P47914","RL29_HUMAN","60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)","RPL29",9.52,10.25,9.97,10.67,10.8,10.3,10.08,9.98,9.34,9.04,9.16,6,0.19,9.9178723301851,0.81,0.44,0.79,-4.67,1.10964428571779
"O14979","HNRDL_HUMAN","Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)","HNRNPDL",9.82,9.85,9.97,9.88,9.95,9.89,10.05,9.93,8.47,8.19,8.26,5,0.08,9.47879736021763,0.81,0.44,0.79,-4.67,1.65202356601815
"O43768","ENSA_HUMAN","Alpha-endosulfine (ARPP-19e)","ENSA",6.18,6.14,6.1,6.25,6.24,6.38,6.25,6.16,3.86,4.15,4.03,1,0.09,5.61226550955044,0.8,0.44,0.79,-4.67,2.24215940288277
"Q9BRT6","LLPH_HUMAN","Protein LLP homolog (Protein LAPS18-like)","LLPH",6.62,6.7,6.72,7.03,7.39,6.77,6.6,6.98,5.95,5.96,5.23,1,0.17,6.54064879977699,0.8,0.44,0.79,-4.67,1.22024150184322
"O14964","HGS_HUMAN","Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)","HGS",6.44,6.19,5.86,6.24,6.04,6.09,6.05,6.11,4.79,4.58,4.79,1,-0.11,5.74314670028696,-0.8,0.44,0.79,-4.67,1.46141325863089
"Q15847","ADIRF_HUMAN","Adipogenesis regulatory factor (Adipogenesis factor rich in obesity) (Adipose most abundant gene transcript 2 protein) (Adipose-specific protein 2) (apM-2)","ADIRF",7.24,6.75,6.16,6.93,6.91,6.99,6.6,7.29,5.2,5.14,5.33,1,0.17,6.41184456331425,0.8,0.44,0.79,-4.67,1.72386941609076
"O43175","SERA_HUMAN","D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)","PHGDH",5.66,6.1,6.1,6.15,6.07,5.87,6.54,6.07,5.12,4.94,5.24,1,0.14,5.8039071085598,0.8,0.44,0.79,-4.67,1.03615478443287
"O43660","PLRG1_HUMAN","Pleiotropic regulator 1","PLRG1",5.29,4.9,4.59,5.06,5.23,4.87,4.99,5.36,3.75,3.38,3.91,1,0.15,4.66721775943878,0.8,0.44,0.79,-4.67,1.43483535338814
"P05787","K2C8_HUMAN","Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)","KRT8",15.34,15.9,15.95,15.96,16.07,16.05,15.62,15.94,13.7,13.94,13.61,60,0.13,15.2804906371983,0.8,0.44,0.79,-4.67,2.17056927584051
"Q9NR30","DDX21_HUMAN","Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)","DDX21",11.37,10.28,9.91,10.39,10.45,10.24,10.17,10.28,9.04,9.23,8.78,18,-0.2,10.0125049980307,-0.8,0.44,0.79,-4.67,1.46955975111127
"Q6KB66","K2C80_HUMAN","Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)","KRT80",12.59,11.19,11.34,11.13,11.59,11.43,11,11.34,9.28,9.51,9.33,20,-0.22,10.8842624107312,-0.8,0.44,0.79,-4.67,2.18886057469176
"O14908","GIPC1_HUMAN","PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)","GIPC1",8.79,8.6,8.7,8.5,8.65,8.48,8.46,8.66,7.03,7.13,7.02,3,-0.08,8.18340680569494,-0.8,0.44,0.79,-4.67,1.58779820780283
"Q14789","GOGB1_HUMAN","Golgin subfamily B member 1 (372 kDa Golgi complex-associated protein) (GCP372) (Giantin) (Macrogolgin)","GOLGB1",6.93,6.51,6.21,6.29,6.29,6.32,6.4,6.44,5.4,5.51,5.33,2,-0.12,6.14642698472683,-0.8,0.44,0.79,-4.67,1.06964256478663
"P62277","RS13_HUMAN","40S ribosomal protein S13 (Small ribosomal subunit protein uS15)","RPS13",10.52,10.64,10.43,10.27,10.32,10.2,10.64,10.28,9.3,8.86,9.14,8,-0.11,10.0542127016348,-0.8,0.44,0.79,-4.67,1.36382562218478
"P21333","FLNA_HUMAN","Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)","FLNA",13.41,12.83,12.8,12.69,12.91,12.77,12.82,12.76,11.46,11.31,11.41,79,-0.12,12.4706492879038,-0.8,0.44,0.79,-4.67,1.53371242750364
"Q14847","LASP1_HUMAN","LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)","LASP1",10.24,10.16,10.45,10.02,10.01,10.17,10.29,10.04,8.37,8.28,8.42,11,-0.09,9.67725115595055,-0.8,0.44,0.79,-4.67,1.86258191254968
"O43592","XPOT_HUMAN","Exportin-T (Exportin(tRNA)) (tRNA exportin)","XPOT",6.31,7.04,7.68,7.27,6.97,7.25,7.42,7.41,5.4,5.25,5.27,1,0.19,6.66037575008365,0.79,0.44,0.79,-4.67,1.95818627536773
"O14545","TRAD1_HUMAN","TRAF-type zinc finger domain-containing protein 1 (Protein FLN29)","TRAFD1",5.06,5.09,5.36,5.18,4.83,5.23,5.14,5,4.23,4.41,3.9,1,-0.12,4.85714476507063,-0.79,0.44,0.79,-4.67,0.991012928670209
"O75832","PSD10_HUMAN","26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))","PSMD10",6.38,6.99,7.36,7.24,7.05,7.07,7.25,7.2,5.09,4.84,4.98,1,0.15,6.49581242670405,0.79,0.44,0.79,-4.67,2.17524080102197
"P53680","AP2S1_HUMAN","AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)","AP2S1",6.9,7.58,7.58,7.45,7.68,7.48,7.53,7.31,5.8,5.87,5.95,2,0.13,7.01116952493689,0.79,0.44,0.79,-4.67,1.63151059797585
"P42677","RS27_HUMAN","40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)","RPS27",6.71,7.05,7.18,7.35,7.19,7.2,7.18,7.15,5.71,5.75,5.66,1,0.11,6.73916669440583,0.79,0.44,0.79,-4.67,1.4699644781367
"P62993","GRB2_HUMAN","Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)","GRB2",8.14,8.5,8.45,8.64,8.59,8.7,8.24,8.63,7.02,7.23,7.09,4,0.11,8.11232727156217,0.79,0.45,0.79,-4.67,1.42432778128369
"P04843","RPN1_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)","RPN1",9.61,10.13,9.99,10.09,10.01,10.02,10.11,10.06,8.55,8.31,8.36,15,0.1,9.56640836894806,0.79,0.45,0.79,-4.67,1.64698211556095
"P49591","SYSC_HUMAN","Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)","SARS",6.84,7.51,7.47,7.28,7.33,7.46,7.56,7.23,6.3,6.25,6.34,3,0.12,7.05211951909587,0.79,0.45,0.79,-4.67,1.09915363355646
"P12004","PCNA_HUMAN","Proliferating cell nuclear antigen (PCNA) (Cyclin)","PCNA",7.53,8.61,8.72,8.75,8.55,8.61,8.54,8.64,6.64,6.63,6.8,3,0.18,8.00114433646568,0.79,0.45,0.79,-4.67,1.89393066281443
"P13807","GYS1_HUMAN","Glycogen [starch] synthase, muscle (EC 2.4.1.11)","GYS1",3.71,3.03,2.43,3.11,2.96,3.64,3.15,3.39,1.77,2.34,2.35,1,0.22,2.89691631621652,0.78,0.45,0.79,-4.67,1.13368590021239
"P62318","SMD3_HUMAN","Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)","SNRPD3",8.51,8.97,8.71,9.01,9.05,8.84,8.72,9.02,7.4,7.21,7.15,2,0.11,8.41723460394392,0.78,0.45,0.79,-4.67,1.65001840480626
"P04075","ALDOA_HUMAN","Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)","ALDOA",11.26,11.01,11.26,11.07,10.94,10.97,11.28,11.06,9.59,9.39,9.61,16,-0.09,10.6773986490659,-0.78,0.45,0.79,-4.67,1.62160087097177
"P62314","SMD1_HUMAN","Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)","SNRPD1",6.97,7.65,7.64,7.95,7.84,7.87,7.46,7.64,6.35,6.25,6.23,4,0.15,7.25928550993071,0.78,0.45,0.79,-4.67,1.423918937813
"P62241","RS8_HUMAN","40S ribosomal protein S8 (Small ribosomal subunit protein eS8)","RPS8",10.16,10.44,10.35,10.53,10.75,10.32,10.36,10.43,8.96,8.81,8.88,9,0.09,9.99974740773538,0.78,0.45,0.79,-4.67,1.58105829998342
"Q9UBQ0","VPS29_HUMAN","Vacuolar protein sorting-associated protein 29 (hVPS29) (PEP11 homolog) (Vesicle protein sorting 29)","VPS29",5.48,6.11,6.15,6.24,6.08,6.19,6.18,6.12,4.69,4.08,4.66,1,0.15,5.63527569738186,0.78,0.45,0.79,-4.67,1.66607585740165
"Q9Y3I0","RTCB_HUMAN","tRNA-splicing ligase RtcB homolog (EC 6.5.1.3)","RTCB",9.74,9.67,9.56,9.49,9.48,9.53,9.62,9.53,8.11,7.93,8.08,11,-0.07,9.15836828775651,-0.78,0.45,0.79,-4.67,1.5755168569724
"Q86U42","PABP2_HUMAN","Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)","PABPN1",5.21,5.1,4.35,4.7,5.23,4.96,4.79,4.98,3.81,3.85,3.78,1,0.15,4.61490840666988,0.78,0.45,0.79,-4.67,1.1760531916564
"Q9Y3F4","STRAP_HUMAN","Serine-threonine kinase receptor-associated protein (MAP activator with WD repeats) (UNR-interacting protein) (WD-40 repeat protein PT-WD)","STRAP",8.4,9.01,8.75,8.91,9.04,8.84,8.72,8.94,7.14,7.53,7.15,2,0.12,8.40274133098429,0.78,0.45,0.79,-4.67,1.61433835710029
"Q68DK7","MSL1_HUMAN","Male-specific lethal 1 homolog (MSL-1) (Male-specific lethal 1-like 1) (MSL1-like 1) (Male-specific lethal-1 homolog 1)","MSL1",5,4.62,5.04,5.17,4.75,5.34,5.18,5.19,2.74,2.26,2.95,1,0.15,4.3866419475637,0.78,0.45,0.79,-4.67,2.46389712700756
"Q9Y490","TLN1_HUMAN","Talin-1","TLN1",8.47,8.36,8.37,8.25,8.26,8.22,8.36,8.32,7.09,7.03,6.89,5,-0.07,7.96657040345528,-0.78,0.45,0.79,-4.67,1.3609698817494
"Q9H3K6","BOLA2_HUMAN","BolA-like protein 2","BOLA2",7.85,8.17,8.58,8.35,8.17,8.32,8.54,8.39,6.31,6.04,6.15,3,0.12,7.71612015261536,0.78,0.45,0.79,-4.67,2.19025011243397
"P51114","FXR1_HUMAN","Fragile X mental retardation syndrome-related protein 1 (hFXR1p)","FXR1",9.02,9.08,9.17,9.24,9.31,9.19,9.13,9.2,7.9,7.97,7.69,7,0.08,8.80935941589057,0.78,0.45,0.79,-4.67,1.35627690015918
"P43307","SSRA_HUMAN","Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)","SSR1",5.52,5.28,4.66,4.75,4.4,4.89,5,5.16,4.07,3.43,4.1,1,-0.19,4.66034714376711,-0.78,0.45,0.79,-4.67,1.18771616939752
"P54652","HSP72_HUMAN","Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2)","HSPA2",4.27,4.46,4.91,5.05,4.9,4.78,4.53,5.18,4.25,4.67,3.96,1,0.17,4.63396798591755,0.77,0.45,0.79,-4.67,0.550854735949128
"Q06323","PSME1_HUMAN","Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)","PSME1",4.26,4.76,3.95,5,4.93,4.72,4.23,4.99,4.06,4.82,3.72,1,0.23,4.49581398985429,0.77,0.45,0.79,-4.67,0.518318337619142
"P33992","MCM5_HUMAN","DNA replication licensing factor MCM5 (EC 3.6.4.12) (CDC46 homolog) (P1-CDC46)","MCM5",7.81,8.21,8.75,8.49,8.19,8.47,8.69,8.47,6.67,6.65,6.63,4,0.14,7.91268423625255,0.77,0.46,0.79,-4.67,1.80979078880085
"Q15008","PSMD6_HUMAN","26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A)","PSMD6",8.51,8.77,8.97,8.75,8.86,8.82,8.84,8.82,7.16,6.97,7.14,6,0.09,8.32803085167916,0.77,0.46,0.79,-4.67,1.74530650137681
"Q969Z3","MARC2_HUMAN","Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)","MARC2",7.52,5.85,4.84,5.56,5.5,5.78,5.64,5.52,4.28,3.93,4.27,1,-0.33,5.3361723930391,-0.77,0.46,0.79,-4.67,1.77868313631718
"O60869","EDF1_HUMAN","Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)","EDF1",9.3,8.96,8.68,8.85,8.94,8.78,8.86,8.81,7.82,7.75,7.74,5,-0.1,8.58928789596968,-0.77,0.46,0.79,-4.67,1.1735784210241
"P55084","ECHB_HUMAN","Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]","HADHB",6,6.31,6.35,6.68,6.44,6.33,6.38,6.65,5.53,5.7,5.4,1,0.12,6.16128152044659,0.77,0.46,0.8,-4.67,0.907588700626391
"P13010","XRCC5_HUMAN","X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))","XRCC5",11.45,11.41,11.81,11.54,11.27,11.43,11.72,11.43,9.78,9.7,9.77,27,-0.09,11.0283517861771,-0.76,0.46,0.8,-4.67,1.80579789148323
"P51608","MECP2_HUMAN","Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)","MECP2",7.8,6.9,6.69,6.9,6.94,6.97,6.84,6.9,5.83,5.85,5.52,3,-0.16,6.64986474100807,-0.76,0.46,0.8,-4.67,1.33824490563174
"Q92621","NU205_HUMAN","Nuclear pore complex protein Nup205 (205 kDa nucleoporin) (Nucleoporin Nup205)","NUP205",6.36,6.69,6.77,7.17,7.04,7.04,6.5,7.04,6.17,6.81,6.23,2,0.16,6.7107119346779,0.76,0.46,0.8,-4.68,0.502435459328487
"O60832","DKC1_HUMAN","H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)","DKC1",10.3,9.82,9.6,10.02,9.93,9.78,9.65,9.91,8.6,8.8,8.35,11,-0.12,9.52479866403213,-0.76,0.46,0.8,-4.68,1.35282612623505
"Q16630","CPSF6_HUMAN","Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CFIm68) (CPSF 68 kDa subunit) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)","CPSF6",10.13,9.55,9.47,9.39,9.51,9.49,9.58,9.51,7.95,7.74,7.9,9,-0.11,9.11032050023536,-0.76,0.46,0.8,-4.68,1.77060822901771
"Q6DKI1","RL7L_HUMAN","60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1)","RPL7L1",8.32,7.78,7.78,8.08,8.05,7.78,7.75,7.91,6.84,6.92,6.49,3,-0.12,7.60875037709568,-0.76,0.46,0.8,-4.68,1.2406899515827
"Q15437","SC23B_HUMAN","Protein transport protein Sec23B (hSec23B) (SEC23-related protein B)","SEC23B",6.39,6.82,6.8,7.05,6.87,7.06,6.76,6.96,5.6,6.4,5.76,2,0.14,6.58716630454756,0.76,0.46,0.8,-4.68,0.991048515596106
"P04279","SEMG1_HUMAN","Semenogelin-1 (Cancer/testis antigen 103) (Semenogelin I) (SGI) [Cleaved into: Alpha-inhibin-92; Alpha-inhibin-31; Seminal basic protein]","SEMG1",2.79,3.5,3.38,3.3,3.24,5.18,3.04,2.84,3.07,2.56,2.58,1,0.33,3.22697254179245,0.76,0.46,0.8,-4.68,0.841613586421889
"P36954","RPB9_HUMAN","DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (DNA-directed RNA polymerase II subunit I) (RNA polymerase II 14.5 kDa subunit) (RPB14.5)","POLR2I",2.55,2.38,2.74,2.79,3.19,1.81,2.6,1.78,1.11,0,1.03,1,-0.27,1.99829924994878,-0.76,0.46,0.8,-4.68,1.8998214550536
"Q00688","FKBP3_HUMAN","Peptidyl-prolyl cis-trans isomerase FKBP3 (PPIase FKBP3) (EC 5.2.1.8) (25 kDa FK506-binding protein) (25 kDa FKBP) (FKBP-25) (FK506-binding protein 3) (FKBP-3) (Immunophilin FKBP25) (Rapamycin-selective 25 kDa immunophilin) (Rotamase)","FKBP3",8.3,8.76,8.57,8.63,8.55,8.59,8.85,8.63,7.52,7.33,7.54,3,0.09,8.2979021628783,0.76,0.46,0.8,-4.68,1.19015445672531
"Q13642","FHL1_HUMAN","Four and a half LIM domains protein 1 (FHL-1) (Skeletal muscle LIM-protein 1) (SLIM) (SLIM-1)","FHL1",5.06,5.43,5.76,5.66,5.24,5.88,5.61,5.74,3.54,3.72,3.57,1,0.14,5.01887182406121,0.76,0.47,0.8,-4.68,2.00716158789024
"P19447","ERCC3_HUMAN","General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB) (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)","ERCC3",5.93,6.42,6.71,6.52,6.32,6.71,6.56,6.49,4.64,4.56,4.7,1,0.12,5.95990561731161,0.76,0.47,0.8,-4.68,1.88794124543072
"Q16401","PSMD5_HUMAN","26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)","PSMD5",8.88,9.59,10.16,10,9.61,9.88,9.94,9.88,7.97,8.1,8.03,7,0.17,9.27455229656023,0.75,0.47,0.8,-4.68,1.79569080428305
"Q96CS3","FAF2_HUMAN","FAS-associated factor 2 (Protein ETEA) (UBX domain-containing protein 3B) (UBX domain-containing protein 8)","FAF2",5.12,5.56,5.96,6.06,5.92,5.83,5.96,5.57,4.5,4.57,4.63,1,0.15,5.42503549379079,0.75,0.47,0.8,-4.68,1.25487859600567
"Q99848","EBP2_HUMAN","Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)","EBNA1BP2",9.99,9.42,9.11,9.74,9.53,9.37,9.25,9.54,8.34,8.88,8.44,5,-0.14,9.23618725937465,-0.75,0.47,0.8,-4.68,1.00941626173946
"P14866","HNRPL_HUMAN","Heterogeneous nuclear ribonucleoprotein L (hnRNP L)","HNRNPL",11.77,11.5,11.35,11.5,11.55,11.35,11.47,11.43,9.96,9.79,9.85,17,-0.08,11.0468808917229,-0.75,0.47,0.8,-4.68,1.66487057562286
"O15231","ZN185_HUMAN","Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A)","ZNF185",8.91,8.3,7.91,8.26,8.26,8.19,8.11,8.29,7.07,7.33,7.25,4,-0.13,7.99049189530594,-0.75,0.47,0.8,-4.68,1.12730978244856
"Q14498","RBM39_HUMAN","RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)","RBM39",9.52,9.51,9.53,9.68,9.68,9.64,9.59,9.64,8.31,8.71,8.48,8,0.08,9.29904967306252,0.75,0.47,0.8,-4.68,1.13573848401007
"O15143","ARC1B_HUMAN","Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)","ARPC1B",9.17,9.6,9.98,9.62,9.61,9.64,9.87,9.72,8,7.68,7.93,5,0.12,9.16562533852483,0.74,0.47,0.8,-4.68,1.83688392794702
"P49588","SYAC_HUMAN","Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)","AARS",9,9.14,9.34,9.05,8.82,9,9.28,9.08,7.74,7.79,7.77,8,-0.09,8.72965849219527,-0.74,0.47,0.8,-4.68,1.36692423267758
"Q96GQ7","DDX27_HUMAN","Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)","DDX27",9.81,9.12,8.92,9.24,9.19,9.15,8.93,9.27,8.08,8.32,7.8,9,-0.14,8.8929942808096,-0.74,0.47,0.8,-4.68,1.20437266935114
"P37837","TALDO_HUMAN","Transaldolase (EC 2.2.1.2)","TALDO1",7.97,7.6,7.34,7.73,7.54,7.75,7.07,7.75,5.9,5.79,5.75,3,-0.13,7.1081267362421,-0.74,0.47,0.8,-4.68,1.84639481463281
"Q6P1J9","CDC73_HUMAN","Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein)","CDC73",8.27,8.74,9.11,8.97,8.78,8.95,9.01,8.84,7.15,7.3,7.34,2,0.12,8.40568144429721,0.74,0.47,0.8,-4.68,1.63341153675144
