"Protein","Gene","Description","GeneSymbol","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13646","K1C13_HUMAN","Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)","KRT13",8.79,8.51,8.18,8.82,8.96,8.17,7.98,6.33,6.86,6.31,4,1.99,7.89145539367423,7.81,4.3e-06,7.5e-06,4.19
"P06576","ATPB_HUMAN","ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)","ATP5B",8.49,8.66,8.31,8.23,8.21,8.55,8.43,7.66,7.43,7.44,4,0.98,8.14005479163044,7.81,4.3e-06,7.5e-06,4.19
"Q8N6H7","ARFG2_HUMAN","ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289)","ARFGAP2",7.05,7.17,7.23,7.15,7.15,7.16,7.24,6.3,6.47,6.25,2,0.81,6.91649764649415,7.8,4.3e-06,7.6e-06,4.18
"Q9NP66","HM20A_HUMAN","High mobility group protein 20A (HMG box-containing protein 20A) (HMG domain-containing protein 1) (HMG domain-containing protein HMGX1)","HMG20A",6.73,6.64,6.94,6.81,6.67,6.34,6.72,5.66,5.69,5.25,2,1.24,6.34541476917791,7.8,4.3e-06,7.6e-06,4.18
"O75376","NCOR1_HUMAN","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1",4.03,3.95,4.41,3.56,4.64,3.87,4.27,1.43,0,1.66,1,3.1,3.18247327674815,7.8,4.4e-06,7.6e-06,4.17
"P51991","ROA3_HUMAN","Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)","HNRNPA3",10.55,10.04,10.46,10.68,10.22,10.3,10.38,9.28,8.97,9.27,15,1.18,10.0141559603511,7.79,4.4e-06,7.7e-06,4.16
"Q92522","H1X_HUMAN","Histone H1x","H1FX",9.33,9.43,9.47,9.21,9.39,9.41,9.5,8.66,8.63,8.76,10,0.73,9.1782772159758,7.79,4.4e-06,7.7e-06,4.16
"Q9H8W4","PKHF2_HUMAN","Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2) (Endoplasmic reticulum-associated apoptosis-involved protein containing PH and FYVE domains) (EAPF) (PH and FYVE domain-containing protein 2) (Phafin-2) (Phafin2) (Zinc finger FYVE domain-containing protein 18)","PLEKHF2",5.42,5.61,5.77,5.29,5.66,5.49,5.55,4.42,4.62,4.34,1,1.14,5.2180741672988,7.78,4.5e-06,7.8e-06,4.14
"O14618","CCS_HUMAN","Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)","CCS",6.56,6.86,6.53,6.22,6.43,6.96,6.68,5.16,5.41,5.26,1,1.38,6.20673968124944,7.78,4.5e-06,7.8e-06,4.14
"O15353","FOXN1_HUMAN","Forkhead box protein N1 (Winged-helix transcription factor nude)","FOXN1",6.14,5.86,6.39,6.13,5.93,5.99,6.13,4.85,5.16,4.82,1,1.19,5.74052009193013,7.77,4.5e-06,7.9e-06,4.13
"O43670","ZN207_HUMAN","BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)","ZNF207",4.71,4.72,4.78,4.56,4.77,4.56,4.62,3.41,3.81,3.53,1,1.15,4.34647055588988,7.76,4.6e-06,8e-06,4.12
"Q3B726","RPA43_HUMAN","DNA-directed RNA polymerase I subunit RPA43 (Twist neighbor protein)","TWISTNB",5.46,5.35,5.64,5.62,5.42,5.21,5.44,4.27,4.52,4.2,1,1.15,5.1132484225703,7.75,4.6e-06,8.1e-06,4.11
"O15355","PPM1G_HUMAN","Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)","PPM1G",6.9,7.79,6.84,6.81,6.98,7.68,6.95,5.24,4.83,5.26,2,2.07,6.53005745564697,7.74,4.7e-06,8.1e-06,4.1
"P60983","GMFB_HUMAN","Glia maturation factor beta (GMF-beta)","GMFB",6.14,6.39,6.2,6.17,6.16,6.45,6.24,4.8,5.34,5.07,1,1.17,5.89590213337952,7.74,4.7e-06,8.2e-06,4.09
"Q7Z406","MYH14_HUMAN","Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)","MYH14",11.74,11.67,11.55,11.55,11.5,11.54,11.62,10.76,11.1,10.92,68,0.73,11.3943828050215,7.73,4.8e-06,8.2e-06,4.08
"Q15397","PUM3_HUMAN","Pumilio homolog 3 (HBV X-transactivated gene 5 protein) (HBV XAg-transactivated protein 5) (Minor histocompatibility antigen HA-8) (HLA-HA8)","PUM3",7.21,6.81,7.01,7.1,6.89,6.97,6.99,6.14,5.92,5.66,4,1.1,6.67217923723781,7.73,4.8e-06,8.2e-06,4.08
"P49773","HINT1_HUMAN","Histidine triad nucleotide-binding protein 1 (EC 3.-.-.-) (Adenosine 5'-monophosphoramidase) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)","HINT1",7.44,8.32,7.59,7.32,7.59,8.19,7.53,6.15,5.77,5.75,2,1.89,7.16584462721177,7.73,4.8e-06,8.3e-06,4.07
"Q8WVV9","HNRLL_HUMAN","Heterogeneous nuclear ribonucleoprotein L-like (hnRNPLL) (Stromal RNA-regulating factor)","HNRNPLL",6.18,6.47,6.53,6.32,6.29,6.32,6.42,4.97,5.52,5.21,2,1.16,6.02260644922294,7.72,4.8e-06,8.3e-06,4.06
"O43776","SYNC_HUMAN","Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)","NARS",6.83,6.89,6.65,6.42,6.86,7.22,6.81,5.42,4.89,5.47,2,1.53,6.34445505670689,7.7,5e-06,8.6e-06,4.03
"O76021","RL1D1_HUMAN","Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)","RSL1D1",10.12,9.83,10.24,10.12,9.98,9.97,10.15,9.22,9.26,8.97,17,0.91,9.78499002398942,7.69,5e-06,8.6e-06,4.03
"P46934","NEDD4_HUMAN","E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)","NEDD4",5.11,5.87,4.79,6.01,5.14,5.65,5.19,2.45,1.08,2.81,1,3.14,4.40964678556298,7.69,5e-06,8.7e-06,4.02
"P18124","RL7_HUMAN","60S ribosomal protein L7 (Large ribosomal subunit protein uL30)","RPL7",11.16,10.82,10.91,11.02,10.77,11.1,10.9,10.22,9.9,10.01,14,0.92,10.6808093332619,7.68,5.1e-06,8.7e-06,4.01
"Q92766","RREB1_HUMAN","Ras-responsive element-binding protein 1 (RREB-1) (Finger protein in nuclear bodies) (Raf-responsive zinc finger protein LZ321) (Zinc finger motif enhancer-binding protein 1) (Zep-1)","RREB1",6.4,6.71,7.05,6.95,6.93,6.7,7.04,4.62,5.54,4.74,2,1.75,6.26880666773533,7.68,5.1e-06,8.8e-06,4
"Q9BV36","MELPH_HUMAN","Melanophilin (Exophilin-3) (Slp homolog lacking C2 domains a) (SlaC2-a) (Synaptotagmin-like protein 2a)","MLPH",8.13,7.94,7.97,7.81,7.99,7.88,8,7.08,7.22,7.34,7,0.8,7.73597214187408,7.67,5.2e-06,8.8e-06,3.99
"P46087","NOP2_HUMAN","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)","NOP2",9.24,9.1,9.37,9.24,9.14,8.98,9.21,8.33,8.54,8.18,9,0.88,8.93226908247857,7.67,5.2e-06,8.9e-06,3.99
"P26640","SYVC_HUMAN","Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS)","VARS",6.63,6.61,6.61,6.68,6.47,6.7,6.44,5.82,5.54,5.74,2,0.92,6.32413552668902,7.66,5.2e-06,8.9e-06,3.98
"Q9H307","PININ_HUMAN","Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)","PNN",9.2,9.02,9.03,9.08,9.05,9.13,9.08,8.39,8.5,8.44,12,0.64,8.89204572980088,7.66,5.3e-06,9e-06,3.97
"P68371","TBB4B_HUMAN","Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)","TUBB4B",7.47,7.47,7.17,7.07,7.33,7.45,7.3,6.17,5.27,6.02,1,1.54,6.87229064109874,7.65,5.3e-06,9e-06,3.97
"Q9BQ67","GRWD1_HUMAN","Glutamate-rich WD repeat-containing protein 1","GRWD1",6.52,6.84,7.02,6.81,6.78,6.88,6.83,5.73,5.91,5.63,2,1.03,6.49495298493261,7.64,5.4e-06,9.1e-06,3.96
"P38159","RBMX_HUMAN","RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]","RBMX",9.71,9.23,9.53,9.97,9.44,9.49,9.5,8.47,8.2,8.27,8,1.18,9.18170612064399,7.64,5.4e-06,9.2e-06,3.95
"Q96PK6","RBM14_HUMAN","RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)","RBM14",10.05,9.77,10.26,10.36,10.13,9.93,10.25,8.95,9.12,8.92,14,1.03,9.77316497743277,7.64,5.4e-06,9.2e-06,3.94
"Q9HB71","CYBP_HUMAN","Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein)","CACYBP",7.74,8.79,8.01,7.76,7.9,8.64,7.84,6.26,5.43,6.06,2,2.26,7.44386887211938,7.63,5.5e-06,9.3e-06,3.93
"P54132","BLM_HUMAN","Bloom syndrome protein (EC 3.6.4.12) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)","BLM",4.79,4.98,5.11,5.06,5.2,5.02,4.91,3.77,3.99,3.85,1,1.09,4.6684355171066,7.62,5.5e-06,9.3e-06,3.93
"Q15532","SSXT_HUMAN","Protein SSXT (Protein SYT) (Synovial sarcoma translocated to X chromosome protein)","SS18",6.23,6.02,6.76,6.84,6.73,5.82,6.94,4.35,4.42,4.03,1,2.07,5.81522760568292,7.62,5.5e-06,9.3e-06,3.92
"P42766","RL35_HUMAN","60S ribosomal protein L35 (Large ribosomal subunit protein uL29)","RPL35",9.44,9.3,9.13,9.21,9.14,9.61,9.3,8.39,8.21,8.37,7,0.96,9.01137858686467,7.6,5.7e-06,9.6e-06,3.9
"P35241","RADI_HUMAN","Radixin","RDX",8.75,8.45,8.66,8.8,8.71,8.56,8.74,7.68,7.8,7.93,9,0.82,8.40802985910332,7.6,5.7e-06,9.6e-06,3.9
"Q9Y446","PKP3_HUMAN","Plakophilin-3","PKP3",9.46,9.52,9.63,9.66,9.71,9.35,9.68,8.51,8.83,8.43,15,0.95,9.27821315157502,7.6,5.7e-06,9.6e-06,3.89
"P55854","SUMO3_HUMAN","Small ubiquitin-related modifier 3 (SUMO-3) (SMT3 homolog 1) (SUMO-2) (Ubiquitin-like protein SMT3A) (Smt3A)","SUMO3",7.25,6.7,8.02,7.71,7.75,6.69,7.77,4.72,4.99,4.88,2,2.46,6.64808670436506,7.6,5.7e-06,9.6e-06,3.89
"Q2NL82","TSR1_HUMAN","Pre-rRNA-processing protein TSR1 homolog","TSR1",5.58,5.46,5.56,5.68,5.43,5.61,5.48,4.04,4.67,4.12,1,1.25,5.16431375745335,7.59,5.8e-06,9.7e-06,3.88
"P48735","IDHP_HUMAN","Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)","IDH2",8.71,8.75,8.45,8.6,8.49,8.69,8.55,7.82,7.88,7.53,5,0.89,8.34788352723588,7.57,5.9e-06,9.9e-06,3.86
"P62750","RL23A_HUMAN","60S ribosomal protein L23a (Large ribosomal subunit protein uL23)","RPL23A",10.38,10.04,10.19,10.35,10.11,10.35,10.15,9.42,8.94,9.25,10,1,9.91860225849265,7.56,6e-06,1e-05,3.84
"Q7Z5L9","I2BP2_HUMAN","Interferon regulatory factor 2-binding protein 2 (IRF-2-binding protein 2) (IRF-2BP2)","IRF2BP2",6.9,7.11,7.27,7.08,7.36,6.89,7.17,5.5,6.13,5.75,4,1.3,6.71468368455744,7.55,6.1e-06,1e-05,3.83
"Q9HBE1","PATZ1_HUMAN","POZ-, AT hook-, and zinc finger-containing protein 1 (BTB/POZ domain zinc finger transcription factor) (Protein kinase A RI subunit alpha-associated protein) (Zinc finger and BTB domain-containing protein 19) (Zinc finger protein 278) (Zinc finger sarcoma gene protein)","PATZ1",4.69,5.01,5.34,4.96,5.4,4.72,5.23,2.49,0,1.8,1,3.58,3.96510402370896,7.55,6.1e-06,1e-05,3.82
"Q14498","RBM39_HUMAN","RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)","RBM39",9.22,9.24,9.39,9.39,9.35,9.3,9.35,8.31,8.71,8.48,8,0.78,9.0747758642178,7.54,6.2e-06,1e-05,3.81
"Q14151","SAFB2_HUMAN","Scaffold attachment factor B2 (SAF-B2)","SAFB2",8.39,8.2,8.31,8.48,8.2,8.26,8.29,7.44,7.63,7.51,5,0.77,8.07040263740928,7.54,6.2e-06,1e-05,3.8
"Q92733","PRCC_HUMAN","Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)","PRCC",5.11,5.25,5.28,4.91,5.26,5.22,5.25,3.56,2.81,3.94,1,1.78,4.65901339460553,7.52,6.3e-06,1.1e-05,3.79
"O94880","PHF14_HUMAN","PHD finger protein 14","PHF14",6.51,6.62,6.67,6.59,6.66,6.61,6.81,5.75,5.84,5.79,1,0.81,6.38489278740155,7.52,6.3e-06,1.1e-05,3.78
"Q13509","TBB3_HUMAN","Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)","TUBB3",5.53,5.56,5.42,5.32,5.57,5.72,5.51,4.33,4.64,4.39,1,1.05,5.19926567882657,7.51,6.4e-06,1.1e-05,3.77
"P31942","HNRH3_HUMAN","Heterogeneous nuclear ribonucleoprotein H3 (hnRNP H3) (Heterogeneous nuclear ribonucleoprotein 2H9) (hnRNP 2H9)","HNRNPH3",9.7,9.18,9.52,9.82,9.48,9.48,9.52,8.58,8.27,8.36,9,1.06,9.19006645894992,7.51,6.5e-06,1.1e-05,3.76
"Q9H0A0","NAT10_HUMAN","RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10)","NAT10",9.71,9.65,9.87,9.78,9.81,9.66,9.8,8.83,9.13,8.67,11,0.87,9.48925798558484,7.5,6.5e-06,1.1e-05,3.75
"Q02878","RL6_HUMAN","60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)","RPL6",11.14,10.89,10.8,10.94,10.73,11.11,10.8,10.13,9.84,10.09,21,0.92,10.6467048232498,7.49,6.6e-06,1.1e-05,3.74
"Q03252","LMNB2_HUMAN","Lamin-B2","LMNB2",10.5,10.3,10.46,10.37,10.47,10.31,10.46,9.67,9.87,9.73,21,0.67,10.2131925714476,7.47,6.8e-06,1.1e-05,3.71
"Q15061","WDR43_HUMAN","WD repeat-containing protein 43 (U3 small nucleolar RNA-associated protein 5 homolog)","WDR43",6.38,6.88,7.52,7.27,7.33,6.67,7.13,4.18,5.26,4.5,2,2.28,6.31210802354462,7.47,6.8e-06,1.1e-05,3.7
"Q8N2N9","AN36B_HUMAN","Ankyrin repeat domain-containing protein 36B (CLL-associated antigen KW-1)","ANKRD36B",6.04,6.12,6.34,6.44,6.46,6.05,6.31,4.74,5.25,4.64,1,1.29,5.83982484271867,7.47,6.8e-06,1.1e-05,3.7
"Q86WB0","NIPA_HUMAN","Nuclear-interacting partner of ALK (Nuclear-interacting partner of anaplastic lymphoma kinase) (hNIPA) (Zinc finger C3HC-type protein 1)","ZC3HC1",4.58,4.47,4.17,3.88,4.36,4.38,4.37,2.82,3.03,3.12,1,1.42,3.91683225587156,7.46,6.9e-06,1.1e-05,3.69
"Q9BVP2","GNL3_HUMAN","Guanine nucleotide-binding protein-like 3 (E2-induced gene 3 protein) (Novel nucleolar protein 47) (NNP47) (Nucleolar GTP-binding protein 3) (Nucleostemin)","GNL3",8.55,8.33,8.73,8.63,8.45,8.36,8.59,7.63,7.7,7.29,6,0.99,8.22544240279295,7.46,6.9e-06,1.1e-05,3.69
"Q7L2H7","EIF3M_HUMAN","Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1)","EIF3M",6.88,6.74,7.07,7.26,7.16,6.9,7.02,5.95,5.92,6.02,2,0.93,6.69268059414652,7.45,7e-06,1.2e-05,3.67
"P22087","FBRL_HUMAN","rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase)","FBL",9.32,8.97,9.39,9.39,9.18,9.11,9.33,8.28,8.33,7.88,9,1.06,8.91838574949846,7.44,7.1e-06,1.2e-05,3.66
"Q9H6T0","ESRP2_HUMAN","Epithelial splicing regulatory protein 2 (RNA-binding motif protein 35B) (RNA-binding protein 35B)","ESRP2",9.34,9.1,9.48,9.92,9.45,9.22,9.61,8.29,7.97,7.81,7,1.28,9.01885414187791,7.44,7.1e-06,1.2e-05,3.66
"Q14896","MYPC3_HUMAN","Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform)","MYBPC3",4.83,5.26,5.01,4.2,4.29,4.54,4.18,2.92,3.88,3.07,1,1.74,4.21788565122756,7.43,7.1e-06,1.2e-05,3.66
"Q8ND56","LS14A_HUMAN","Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A)","LSM14A",6.73,6.29,6.66,6.62,6.55,6.62,6.47,5.67,5.43,5.61,1,0.99,6.26368311346381,7.39,7.6e-06,1.2e-05,3.59
"P62277","RS13_HUMAN","40S ribosomal protein S13 (Small ribosomal subunit protein uS15)","RPS13",10.35,10.14,9.98,10.03,9.91,10.35,9.99,9.3,8.86,9.14,8,1.06,9.8050670014724,7.38,7.6e-06,1.3e-05,3.58
"Q00796","DHSO_HUMAN","Sorbitol dehydrogenase (EC 1.1.1.14) (L-iditol 2-dehydrogenase)","SORD",8.97,9.43,9.14,8.79,9.09,9.29,9.04,8.11,8.25,8.15,6,1.01,8.82517731398542,7.38,7.7e-06,1.3e-05,3.58
"P35998","PRS7_HUMAN","26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2) (Protein MSS1)","PSMC2",7.65,7.57,7.86,7.63,7.49,7.81,7.74,6.73,6.96,6.67,4,0.9,7.40910656625513,7.38,7.7e-06,1.3e-05,3.58
"Q96C19","EFHD2_HUMAN","EF-hand domain-containing protein D2 (Swiprosin-1)","EFHD2",6.43,6.29,6.44,6.25,6.5,6.19,6.52,5.31,5.54,5.06,1,1.08,6.05171959225441,7.38,7.7e-06,1.3e-05,3.57
"Q9Y2W2","WBP11_HUMAN","WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1)","WBP11",5.91,5.91,5.46,5.44,5.76,5.84,5.68,4.46,4.37,4.76,2,1.23,5.35827322752754,7.37,7.8e-06,1.3e-05,3.56
"Q8N1F7","NUP93_HUMAN","Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (Nucleoporin Nup93)","NUP93",8.57,8.82,8.58,8.58,8.82,8.65,8.63,7.61,8.01,7.7,6,0.88,8.39623313348733,7.37,7.8e-06,1.3e-05,3.56
"P49755","TMEDA_HUMAN","Transmembrane emp24 domain-containing protein 10 (21 kDa transmembrane-trafficking protein) (S31III125) (S31I125) (Tmp-21-I) (Transmembrane protein Tmp21) (p23) (p24 family protein delta-1) (p24delta1) (p24delta)","TMED10",6.45,6.15,6.06,6.63,6.43,6.15,6.5,5.22,4.84,5.09,2,1.17,5.95103809566633,7.36,7.8e-06,1.3e-05,3.56
"Q9BTT0","AN32E_HUMAN","Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)","ANP32E",5.91,6.46,6.45,6.28,6.13,6.47,6.51,4.93,5.19,5.05,2,1.21,5.93805023002926,7.35,8e-06,1.3e-05,3.53
"P23528","COF1_HUMAN","Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)","CFL1",6.42,6.85,6.66,6.55,6.54,6.71,6.66,5.39,5.84,5.45,2,1.08,6.30540108130551,7.35,8e-06,1.3e-05,3.53
"O60884","DNJA2_HUMAN","DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)","DNAJA2",5.65,5.88,5.89,5.95,6.18,5.84,6,4.52,4.99,4.64,2,1.09,5.55345437550501,7.34,8.1e-06,1.3e-05,3.53
"Q92599","SEPT8_HUMAN","Septin-8","SEPT8",7.1,6.84,7.22,6.98,7.03,6.92,7.12,6.22,6.23,6.11,3,0.87,6.77765652136029,7.34,8.1e-06,1.3e-05,3.52
"P22234","PUR6_HUMAN","Multifunctional protein ADE2 [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)]","PAICS",8.19,8.56,8.18,7.91,8.14,8.58,8.17,7.28,7.01,7.09,6,1.19,7.9106146436196,7.34,8.1e-06,1.3e-05,3.52
"Q9BZF9","UACA_HUMAN","Uveal autoantigen with coiled-coil domains and ankyrin repeats","UACA",6.04,6.51,5.91,5.98,5.83,5.98,5.91,4.93,5.18,4.96,1,1.13,5.72376479081265,7.34,8.1e-06,1.3e-05,3.52
"Q6PKG0","LARP1_HUMAN","La-related protein 1 (La ribonucleoprotein domain family member 1)","LARP1",6.86,6.98,6.53,6.7,6.65,7.08,6.75,5.52,5.78,5.73,3,1.11,6.45842523401701,7.33,8.2e-06,1.3e-05,3.51
"O75146","HIP1R_HUMAN","Huntingtin-interacting protein 1-related protein (HIP1-related protein) (Huntingtin-interacting protein 12) (HIP-12)","HIP1R",7.23,7.24,7.02,7.01,7.15,7.13,7.11,6.14,6.35,6.46,4,0.84,6.88362132796022,7.32,8.4e-06,1.4e-05,3.49
"Q8NFD5","ARI1B_HUMAN","AT-rich interactive domain-containing protein 1B (ARID domain-containing protein 1B) (BRG1-associated factor 250b) (BAF250B) (BRG1-binding protein hELD/OSA1) (Osa homolog 2) (hOsa2) (p250R)","ARID1B",6.94,6.94,7.36,7.15,7.25,6.58,7.37,5.23,5.82,5.57,2,1.54,6.62303062885616,7.31,8.4e-06,1.4e-05,3.48
"Q92620","PRP16_HUMAN","Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13) (ATP-dependent RNA helicase DHX38) (DEAH box protein 38)","DHX38",3.72,3.84,3.45,3.48,4.04,3.76,3.9,2.07,2.03,2.35,1,1.52,3.26315374847931,7.31,8.4e-06,1.4e-05,3.48
"Q9H6S3","ES8L2_HUMAN","Epidermal growth factor receptor kinase substrate 8-like protein 2 (EPS8-like protein 2) (Epidermal growth factor receptor pathway substrate 8-related protein 2) (EPS8-related protein 2)","EPS8L2",7.13,7.15,6.95,7.21,6.99,7.08,6.93,5.98,6.19,6.34,5,0.91,6.79534264892161,7.31,8.5e-06,1.4e-05,3.47
"P55010","IF5_HUMAN","Eukaryotic translation initiation factor 5 (eIF-5)","EIF5",5.79,5.77,5.45,5.15,5.49,5.93,5.41,4.26,4.32,4.42,1,1.34,5.19906978761913,7.31,8.5e-06,1.4e-05,3.47
"Q9Y5V3","MAGD1_HUMAN","Melanoma-associated antigen D1 (MAGE tumor antigen CCF) (MAGE-D1 antigen) (Neurotrophin receptor-interacting MAGE homolog)","MAGED1",3.35,3.74,3.64,3.26,3.52,3.24,3.41,2.16,2.12,2.25,1,1.39,3.06955189127202,7.3,8.5e-06,1.4e-05,3.47
"Q12972","PP1R8_HUMAN","Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8) [Includes: Activator of RNA decay (EC 3.1.4.-) (ARD-1)]","PPP1R8",5.4,5.62,5.56,5.49,5.7,5.41,5.39,3.59,4.5,4.14,2,1.45,5.07970383657507,7.3,8.5e-06,1.4e-05,3.46
"P78371","TCPB_HUMAN","T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)","CCT2",8.71,8.64,8.45,8.6,8.45,8.89,8.56,7.67,7.54,7.83,8,0.92,8.3344040565991,7.3,8.6e-06,1.4e-05,3.46
"P25788","PSA3_HUMAN","Proteasome subunit alpha type-3 (EC 3.4.25.1) (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)","PSMA3",7.08,6.91,7.27,7.15,7.15,7.03,7.3,6.16,6.18,6.31,2,0.87,6.85430799653561,7.29,8.6e-06,1.4e-05,3.45
"P20810","ICAL_HUMAN","Calpastatin (Calpain inhibitor) (Sperm BS-17 component)","CAST",6.65,6.53,6.55,6.26,6.67,6.54,6.79,4.98,5.57,5.46,4,1.24,6.20003793599913,7.29,8.7e-06,1.4e-05,3.45
"P36578","RL4_HUMAN","60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)","RPL4",12.07,11.85,11.62,11.76,11.55,12.03,11.59,10.98,10.55,10.73,28,1.1,11.4730943020006,7.29,8.7e-06,1.4e-05,3.45
"P07910","HNRPC_HUMAN","Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)","HNRNPC",9.58,9.28,9.45,9.63,9.37,9.49,9.38,8.69,8.73,8.7,8,0.73,9.22864339908958,7.28,8.8e-06,1.4e-05,3.44
"P22626","ROA2_HUMAN","Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)","HNRNPA2B1",12.26,11.69,12.13,12.31,11.95,12.02,12.13,11.13,10.88,11,20,1.02,11.7506971575448,7.28,8.9e-06,1.4e-05,3.43
"Q96AE4","FUBP1_HUMAN","Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V)","FUBP1",9.96,9.55,9.84,10.04,9.77,9.74,9.94,8.9,8.95,8.97,11,0.84,9.56517708939867,7.26,9e-06,1.4e-05,3.41
"P42025","ACTY_HUMAN","Beta-centractin (Actin-related protein 1B) (ARP1B)","ACTR1B",5.61,5.95,5.36,5.05,5.42,5.97,5.47,4.14,3.52,4.05,1,1.73,5.05336834789542,7.26,9.1e-06,1.4e-05,3.4
