"Protein","Gene","Description","GeneSymbol","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"O76041","NEBL_HUMAN","Nebulette (Actin-binding Z-disk protein)","NEBL",5.72,5.84,5.97,6.01,5.83,5.69,6.15,5.08,5.17,4.94,2,0.08,5.63943064167808,0.58,0.57,1,-5.07,0.854119167571197
"P55735","SEC13_HUMAN","Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein)","SEC13",8.1,7.97,8.31,8.15,8.17,8.19,8.27,6.91,6.44,6.86,4,0.07,7.73679277524701,0.58,0.57,1,-5.07,1.46197384893034
"O75146","HIP1R_HUMAN","Huntingtin-interacting protein 1-related protein (HIP1-related protein) (Huntingtin-interacting protein 12) (HIP-12)","HIP1R",7.23,7.24,7.02,7.01,7.15,7.13,7.11,6.14,6.35,6.46,4,-0.06,6.88362132796022,-0.58,0.57,1,-5.07,0.844580028735338
"Q14204","DYHC1_HUMAN","Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)","DYNC1H1",10.8,10.85,10.67,10.74,10.62,10.87,10.67,9.75,9.67,9.67,38,-0.05,10.4303639607732,-0.58,0.57,1,-5.07,1.07500605411985
"O96019","ACL6A_HUMAN","Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)","ACTL6A",8.9,8.99,9.38,9.2,9.29,8.84,9.36,6.66,6.85,6.89,6,0.08,8.43634802250907,0.58,0.57,1,-5.07,2.37387297722602
"Q96LA8","ANM6_HUMAN","Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6)","PRMT6",7.18,7.58,7.43,7.21,7.47,7.32,7.3,5.78,5.78,5.47,1,-0.07,6.85244227504961,-0.58,0.57,1,-5.07,1.72060485481394
"O75362","ZN217_HUMAN","Zinc finger protein 217","ZNF217",10.75,11.16,11.3,11.21,11.29,10.84,11.33,8.39,8.88,8.39,24,0.09,10.3543571462319,0.58,0.57,1,-5.07,2.61524702670597
"P32119","PRDX2_HUMAN","Peroxiredoxin-2 (EC 1.11.1.15) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)","PRDX2",11.33,11.98,11.49,11.86,11.57,11.71,11.59,8.57,8.92,8.45,11,0.09,10.7466367061083,0.58,0.58,1,-5.07,3.04137340166116
"P62847","RS24_HUMAN","40S ribosomal protein S24 (Small ribosomal subunit protein eS24)","RPS24",10.08,10.1,9.91,10.04,9.91,10.11,9.83,8.92,8.71,8.76,6,-0.05,9.63813177515944,-0.57,0.58,1,-5.07,1.23196280960777
"Q9H3P2","NELFA_HUMAN","Negative elongation factor A (NELF-A) (Wolf-Hirschhorn syndrome candidate 2 protein)","NELFA",6.24,6.5,6.68,6.72,6.58,6.4,6.55,4.86,5.32,4.68,1,0.09,6.05354927560226,0.57,0.58,1,-5.07,1.6096325048599
"P49773","HINT1_HUMAN","Histidine triad nucleotide-binding protein 1 (EC 3.-.-.-) (Adenosine 5'-monophosphoramidase) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)","HINT1",7.44,8.32,7.59,7.32,7.59,8.19,7.53,6.15,5.77,5.75,2,-0.13,7.16584462721177,-0.57,0.58,1,-5.07,1.89374377635565
"P62917","RL8_HUMAN","60S ribosomal protein L8 (Large ribosomal subunit protein uL2)","RPL8",11.43,11.41,11.41,11.51,11.37,11.51,11.45,10.13,10,10.1,14,0.04,11.0307870814428,0.57,0.58,1,-5.07,1.38247133514853
"O94776","MTA2_HUMAN","Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1) (MTA1-L1 protein) (p53 target protein in deacetylase complex)","MTA2",9.41,9.68,9.61,9.53,9.84,9.51,9.61,7.95,8.1,7.99,8,0.06,9.1229484010409,0.57,0.58,1,-5.07,1.61049606908292
"O95817","BAG3_HUMAN","BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)","BAG3",9.32,9.39,9.29,9.47,9.37,9.43,9.27,8.41,8.59,8.46,9,0.05,9.09917263601272,0.57,0.58,1,-5.07,0.899625544244483
"P98179","RBM3_HUMAN","RNA-binding protein 3 (RNA-binding motif protein 3) (RNPL)","RBM3",5.26,4.46,4.91,5.47,4.71,4.64,5.22,4.45,3.89,4.06,2,0.14,4.70656515714191,0.57,0.58,1,-5.07,0.874758453128035
"O00750","P3C2B_HUMAN","Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)","PIK3C2B",5.32,5.58,5.14,5.53,5.3,5.43,5.45,4.04,4.5,4.29,1,0.08,5.05735628177096,0.57,0.58,1,-5.07,1.15232079075875
"P10588","NR2F6_HUMAN","Nuclear receptor subfamily 2 group F member 6 (V-erbA-related protein 2) (EAR-2)","NR2F6",6.45,6.25,7.12,6.95,6.91,6.09,7.07,4.92,5.5,5.08,1,0.15,6.23441140943933,0.57,0.58,1,-5.07,1.58760980421771
"P51397","DAP1_HUMAN","Death-associated protein 1 (DAP-1)","DAP",3.77,3.41,3.19,3.24,4.22,3.51,3.4,2.85,2.69,2.62,1,0.14,3.28943377378794,0.56,0.58,1,-5.07,0.870804001291114
"P40429","RL13A_HUMAN","60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)","RPL13A",10.67,10.59,10.58,10.64,10.64,10.74,10.62,9.46,9.2,9.39,9,0.05,10.252223426642,0.56,0.58,1,-5.07,1.30629345105065
"P30153","2AAA_HUMAN","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)","PPP2R1A",8.26,8.04,8.01,8.3,8.09,8.09,8.15,6.82,6.71,6.98,3,0.06,7.74531824639773,0.56,0.58,1,-5.07,1.32363275033047
"Q9Y446","PKP3_HUMAN","Plakophilin-3","PKP3",9.46,9.52,9.63,9.66,9.71,9.35,9.68,8.51,8.83,8.43,15,0.07,9.27821315157502,0.56,0.58,1,-5.07,1.01058698222725
"O95425","SVIL_HUMAN","Supervillin (Archvillin) (p205/p250)","SVIL",6.88,6.53,7.09,7.06,6.87,6.72,7.03,6.26,6.6,6.38,1,0.08,6.74051760371686,0.56,0.58,1,-5.07,0.507528282989844
"Q8TEW0","PARD3_HUMAN","Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)","PARD3",4.88,4.59,4.44,4.76,4.62,4.72,4.82,3.52,3.47,4,1,0.09,4.38255939238693,0.56,0.58,1,-5.07,1.06528522843792
"P46939","UTRO_HUMAN","Utrophin (Dystrophin-related protein 1) (DRP-1)","UTRN",6.25,5.88,5.86,5.94,5.82,5.98,5.89,5.12,4.49,5.08,1,-0.09,5.62905222458036,-0.56,0.59,1,-5.07,1.10406225786412
"P15311","EZRI_HUMAN","Ezrin (Cytovillin) (Villin-2) (p81)","EZR",10.38,10.21,10.28,10.42,10.27,10.33,10.33,9.25,9.14,9.33,14,0.04,9.99616749720986,0.56,0.59,1,-5.07,1.09620595900729
"P22626","ROA2_HUMAN","Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)","HNRNPA2B1",12.26,11.69,12.13,12.31,11.95,12.02,12.13,11.13,10.88,11,20,0.07,11.7506971575448,0.56,0.59,1,-5.08,1.09531931732615
"Q8IY67","RAVR1_HUMAN","Ribonucleoprotein PTB-binding 1 (Protein raver-1)","RAVER1",7.27,7.12,7.42,7.54,7.33,7.15,7.41,6.2,6.92,6.53,4,0.09,7.08835612895936,0.56,0.59,1,-5.08,0.812023130314097
"Q9BRT6","LLPH_HUMAN","Protein LLP homolog (Protein LAPS18-like)","LLPH",6.42,6.43,6.75,7.1,6.48,6.31,6.69,5.95,5.96,5.23,1,0.12,6.33215539215249,0.56,0.59,1,-5.08,0.933352331708287
"P35268","RL22_HUMAN","60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)","RPL22",7.14,7.15,7.2,7.21,7.15,7.36,7.15,5.99,6.31,6.1,2,0.06,6.87652483069841,0.55,0.59,1,-5.08,1.08197841636472
"P07237","PDIA1_HUMAN","Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)","P4HB",8,7.2,7.96,8.12,7.92,7.34,7.95,6.92,7.05,6.85,3,0.11,7.53104901637751,0.55,0.59,1,-5.08,0.895216834062878
"Q7L1Q6","BZW1_HUMAN","Basic leucine zipper and W2 domain-containing protein 1 (Protein Orf)","BZW1",7.2,7.01,6.99,6.87,7.07,7.14,6.95,6.08,6.25,6.16,5,-0.06,6.77231425209423,-0.55,0.59,1,-5.08,0.900383477850744
"O43172","PRP4_HUMAN","U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)","PRPF4",8.24,8.36,8.39,8.22,8.35,8.33,8.23,7.02,7.14,7.02,6,-0.05,7.92873125570621,-0.55,0.59,1,-5.08,1.26503453958452
"P27816","MAP4_HUMAN","Microtubule-associated protein 4 (MAP-4)","MAP4",9.52,9.6,9.17,9.18,9.24,9.78,9.2,8.53,8.39,8.44,10,-0.08,9.10695334275748,-0.55,0.59,1,-5.08,0.977346209037576
"Q14119","VEZF1_HUMAN","Vascular endothelial zinc finger 1 (Putative transcription factor DB1) (Zinc finger protein 161)","VEZF1",5.19,5.96,5.91,5.27,5.65,5.69,5.72,2.89,2.95,2.97,1,-0.1,4.81844345666815,-0.55,0.59,1,-5.08,2.74979679504804
"O95486","SC24A_HUMAN","Protein transport protein Sec24A (SEC24-related protein A)","SEC24A",5.37,4.84,5.31,5.27,5.3,4.7,5.04,4.13,3.92,4.09,1,-0.1,4.79820573574108,-0.55,0.59,1,-5.08,1.12694303688566
"O95782","AP2A1_HUMAN","AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)","AP2A1",8.13,8.09,8.07,8.05,8.08,8.05,7.99,6.72,6.53,6.92,3,-0.05,7.6631530135717,-0.55,0.59,1,-5.08,1.37128820525059
"Q86UP2","KTN1_HUMAN","Kinectin (CG-1 antigen) (Kinesin receptor)","KTN1",6.8,6.18,6.38,6.4,6.45,6.52,6.11,5.45,5.5,5.61,3,-0.08,6.13922142436386,-0.55,0.59,1,-5.08,0.936504135982075
"Q8TAD8","SNIP1_HUMAN","Smad nuclear-interacting protein 1 (FHA domain-containing protein SNIP1)","SNIP1",5.13,4.93,5.51,5.51,5.35,4.93,5.45,5.02,5.89,5.04,1,0.12,5.27585705663322,0.55,0.6,1,-5.08,-0.00280857806567791
"O75934","SPF27_HUMAN","Pre-mRNA-splicing factor SPF27 (Breast carcinoma-amplified sequence 2) (DNA amplified in mammary carcinoma 1 protein) (Spliceosome-associated protein SPF 27)","BCAS2",5.77,5.78,5.88,5.72,5.8,5.56,5.91,4.62,4.71,4.54,2,-0.06,5.42892599339022,-0.54,0.6,1,-5.08,1.18794767847611
"Q8TAT6","NPL4_HUMAN","Nuclear protein localization protein 4 homolog (Protein NPL4)","NPLOC4",5.04,5.53,5.32,5.26,4.96,5.66,4.89,3.37,3.23,3.43,1,-0.1,4.67069970094518,-0.54,0.6,1,-5.08,1.95279642402103
"Q9UHB9","SRP68_HUMAN","Signal recognition particle subunit SRP68 (SRP68) (Signal recognition particle 68 kDa protein)","SRP68",7.31,6.81,6.88,6.78,6.88,7.31,6.66,6.2,6.04,6.31,3,-0.09,6.7159291274623,-0.54,0.6,1,-5.08,0.818844220511314
"P06744","G6PI_HUMAN","Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)","GPI",2.28,2.69,2.23,2.16,2.7,2.65,2.63,2.24,1.63,1.7,1,0.13,2.29175580725411,0.54,0.6,1,-5.08,0.676419007000155
"Q9H0D6","XRN2_HUMAN","5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)","XRN2",9.67,9.37,9.68,9.74,9.66,9.47,9.65,8.59,8.72,8.48,13,0.06,9.30348347935017,0.54,0.6,1,-5.08,1.03406773288521
"P23246","SFPQ_HUMAN","Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)","SFPQ",11.41,11.04,11.42,11.51,11.3,11.19,11.4,10.17,10.22,10.11,28,0.06,10.977573717814,0.54,0.6,1,-5.08,1.17912546747895
"Q12830","BPTF_HUMAN","Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)","BPTF",2.83,2.54,3.46,3.09,3.28,2.1,2.63,2.27,2.03,2.5,1,-0.17,2.67251858775677,-0.54,0.6,1,-5.08,0.675920980154281
"P55060","XPO2_HUMAN","Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)","CSE1L",8.26,8.5,8.26,8.26,8.32,8.29,8.29,6.82,6.77,7.08,7,-0.05,7.8838394957114,-0.54,0.6,1,-5.08,1.45056091265557
"P32969","RL9_HUMAN","60S ribosomal protein L9 (Large ribosomal subunit protein uL6)","RPL9",9.12,9.29,9.18,9.34,9.24,9.26,9.18,7.33,6.87,7.23,6,0.06,8.60329550386748,0.54,0.6,1,-5.08,2.10801045967247
"Q00610","CLH1_HUMAN","Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)","CLTC",11.8,11.71,11.7,11.82,11.61,11.71,11.64,10.74,10.82,10.81,44,-0.04,11.4364065091081,-0.54,0.6,1,-5.08,0.944556420260401
"Q08J23","NSUN2_HUMAN","tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (tRNA (cytosine-5-)-methyltransferase) (tRNA methyltransferase 4 homolog) (hTrm4)","NSUN2",7.08,7.27,7.2,7.14,7.14,7.12,7.14,6.14,6,6.08,4,-0.05,6.83060468491222,-0.54,0.6,1,-5.08,1.11154720020567
"O60841","IF2P_HUMAN","Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)","EIF5B",5.16,5.25,5.16,4.92,4.87,5.35,5.25,4.23,4.43,4.88,1,-0.09,4.94718636214904,-0.54,0.6,1,-5.08,0.674940643751532
"O14976","GAK_HUMAN","Cyclin-G-associated kinase (EC 2.7.11.1)","GAK",6.25,6.44,6.11,6.47,6.28,6.29,6.28,5.13,5.37,5.31,3,0.06,5.99193045008505,0.54,0.6,1,-5.08,1.05723254040172
"Q92769","HDAC2_HUMAN","Histone deacetylase 2 (HD2) (EC 3.5.1.98)","HDAC2",8.43,8.67,8.66,8.53,8.83,8.51,8.71,6.64,6.62,6.61,4,0.05,8.02245925861457,0.53,0.6,1,-5.09,2.02051987636539
"P51532","SMCA4_HUMAN","Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)","SMARCA4",9.75,9.93,10.16,10.13,10.18,9.59,10.25,7.96,8.43,8.13,12,0.09,9.45060302858951,0.53,0.61,1,-5.09,1.86325279767998
"Q07157","ZO1_HUMAN","Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)","TJP1",8.71,8.56,8.74,8.76,8.72,8.69,8.7,7.95,8.14,8.18,6,0.05,8.5170360295166,0.53,0.61,1,-5.09,0.625140311323637
"Q9UBB5","MBD2_HUMAN","Methyl-CpG-binding domain protein 2 (Demethylase) (DMTase) (Methyl-CpG-binding protein MBD2)","MBD2",4.9,5.24,4.91,4.82,4.91,4.85,4.99,1.84,2.17,3.04,1,-0.13,4.16623200836158,-0.53,0.61,1,-5.09,2.66625723016091
"Q9NWT8","AKIP_HUMAN","Aurora kinase A-interacting protein (AURKA-interacting protein) (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Mitochondrial small ribosomal subunit protein mS38)","AURKAIP1",6.86,7.53,7.34,7.26,7.15,7.48,7.49,6.11,6.91,6.42,1,0.1,7.05404161423986,0.53,0.61,1,-5.09,0.867538795605651
"P51149","RAB7A_HUMAN","Ras-related protein Rab-7a","RAB7A",6.53,6.35,6.27,6.41,6.38,6.48,6.54,5.37,4.91,5,2,0.07,6.02494464221343,0.53,0.61,1,-5.09,1.35499626980225
"Q9NQZ2","SAS10_HUMAN","Something about silencing protein 10 (Charged amino acid-rich leucine zipper 1) (CRL1) (Disrupter of silencing SAS10) (UTP3 homolog)","UTP3",5.74,5.57,5.6,5.83,5.7,5.65,5.63,4.91,4.65,4.52,2,0.07,5.37961352422598,0.53,0.61,1,-5.09,1.00699772126442
"P46782","RS5_HUMAN","40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]","RPS5",7.1,7.14,7.33,7.23,7.29,6.87,7.1,6.29,6.49,6.16,1,-0.07,6.89849642757831,-0.53,0.61,1,-5.09,0.878007024829814
"Q9UPT8","ZC3H4_HUMAN","Zinc finger CCCH domain-containing protein 4","ZC3H4",5.66,5.9,5.88,5.74,5.84,5.58,5.84,4.1,4.39,4.37,2,-0.07,5.33127773033932,-0.53,0.61,1,-5.09,1.53091693061962
"P19784","CSK22_HUMAN","Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)","CSNK2A2",6.09,6.39,6.14,6.03,6.34,5.99,6.12,4.96,5.58,4.94,1,-0.09,5.85759432351192,-0.53,0.61,1,-5.09,1.04664656040354
"P61981","1433G_HUMAN","14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]","YWHAG",8.07,8.36,8.01,8.1,8.13,8.08,8.08,6.71,6.64,6.57,5,-0.05,7.67490093664279,-0.52,0.61,1,-5.09,1.50664701089611
"P55854","SUMO3_HUMAN","Small ubiquitin-related modifier 3 (SUMO-3) (SMT3 homolog 1) (SUMO-2) (Ubiquitin-like protein SMT3A) (Smt3A)","SUMO3",7.25,6.7,8.02,7.71,7.75,6.69,7.77,4.72,4.99,4.88,2,0.16,6.64808670436506,0.52,0.61,1,-5.09,2.61855832494099
"Q9HB71","CYBP_HUMAN","Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein)","CACYBP",7.74,8.79,8.01,7.76,7.9,8.64,7.84,6.26,5.43,6.06,2,-0.14,7.44386887211938,-0.52,0.61,1,-5.09,2.26230066051574
"Q04323","UBXN1_HUMAN","UBX domain-containing protein 1 (SAPK substrate protein 1) (UBA/UBX 33.3 kDa protein)","UBXN1",6.69,6.73,7.02,6.71,6.96,6.84,7,5.87,6.23,6.11,2,0.07,6.61711005485356,0.52,0.61,1,-5.09,0.805469124222585
"P49915","GUAA_HUMAN","GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)","GMPS",7.18,7.71,7.35,7.21,7.37,7.45,7.35,5.66,5.56,5.39,3,-0.07,6.82252615536378,-0.52,0.61,1,-5.09,1.8785021812018
"O95361","TRI16_HUMAN","Tripartite motif-containing protein 16 (Estrogen-responsive B box protein)","TRIM16",4.19,4.77,4.72,4.65,4.25,4.65,4.33,3.61,3.66,3.56,1,-0.09,4.23955996347284,-0.52,0.61,1,-5.09,0.95008363335273
"Q9H3U1","UN45A_HUMAN","Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1)","UNC45A",9.18,9.12,9.01,9,9.03,9.14,9.08,8,8.14,8.15,14,-0.04,8.78480792274832,-0.52,0.61,1,-5.09,1.00588701697717
"Q9Y3A5","SBDS_HUMAN","Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein)","SBDS",8.57,8.73,8.85,8.72,8.79,8.8,8.77,7.21,6.84,7.09,4,0.05,8.23653661166605,0.52,0.61,1,-5.09,1.72304054010344
"Q9NW13","RBM28_HUMAN","RNA-binding protein 28 (RNA-binding motif protein 28)","RBM28",8.8,8.62,8.98,8.8,8.8,8.67,8.73,7.82,7.85,7.61,7,-0.05,8.46653417316553,-0.52,0.61,1,-5.09,1.03992826571113
"P45974","UBP5_HUMAN","Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)","USP5",6.48,7.07,6.95,6.53,6.73,7.04,6.72,5.23,5.33,5.3,3,-0.08,6.33977643766901,-0.52,0.62,1,-5.09,1.54782124785462
"Q92598","HS105_HUMAN","Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein)","HSPH1",6.6,6.86,6.62,6.78,6.54,6.58,6.64,5.37,5.28,5.4,2,-0.06,6.26721792442408,-0.52,0.62,1,-5.09,1.34002611709353
"Q15878","CAC1E_HUMAN","Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3)","CACNA1E",5.65,6.46,6.22,6.19,6.06,5.73,6.05,3.75,3.23,3.42,1,-0.1,5.27661561308769,-0.51,0.62,1,-5.09,2.64155043824223
"Q15233","NONO_HUMAN","Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)","NONO",11.45,11.2,11.46,11.57,11.39,11.27,11.43,10.06,9.97,9.93,23,0.05,10.972889456477,0.51,0.62,1,-5.09,1.43054555794717
"P17987","TCPA_HUMAN","T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)","TCP1",9.67,10.27,9.78,9.75,9.73,10.1,9.77,8.38,8.54,8.44,10,-0.07,9.44378449319786,-0.51,0.62,1,-5.09,1.45461250681963
"Q9UBT7","CTNL1_HUMAN","Alpha-catulin (Alpha-catenin-related protein) (ACRP) (Catenin alpha-like protein 1)","CTNNAL1",4.86,5.25,5.15,5.25,4.87,4.76,5.14,4.02,3.93,4.1,1,-0.08,4.7343963758959,-0.51,0.62,1,-5.09,1.0666945170496
"Q9Y6A9","SPCS1_HUMAN","Signal peptidase complex subunit 1 (EC 3.4.-.-) (Microsomal signal peptidase 12 kDa subunit) (SPase 12 kDa subunit)","SPCS1",6.1,6.4,6.44,6.29,6.42,6.3,6.47,5.18,5.08,5.17,1,0.06,5.98462130967821,0.51,0.62,1,-5.09,1.2289765926666
"Q13363","CTBP1_HUMAN","C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)","CTBP1",8.66,8.56,9.29,9.14,9.12,8.26,9.29,7.28,7.66,7.4,8,0.12,8.46628438674421,0.51,0.62,1,-5.09,1.5098387027243
"P62136","PP1A_HUMAN","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)","PPP1CA",7.24,7.38,7.34,7.43,7.36,7.28,7.41,6.32,6.46,6.18,3,0.05,7.04107492472483,0.51,0.62,1,-5.09,1.05233115204701
"Q12933","TRAF2_HUMAN","TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3)","TRAF2",6.86,6.87,6.79,6.84,6.71,6.9,6.71,5.34,5.27,5.4,1,-0.05,6.36915580136805,-0.51,0.62,1,-5.09,1.50283692040848
"P14618","KPYM_HUMAN","Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)","PKM",11.01,11.4,11.05,10.89,10.98,11.39,11.11,9.92,9.81,9.98,23,-0.06,10.7542286248854,-0.51,0.62,1,-5.09,1.24924100744353
"P62266","RS23_HUMAN","40S ribosomal protein S23 (Small ribosomal subunit protein uS12)","RPS23",9.17,9.22,9.21,9.43,9.22,9.19,9.13,7.96,7.81,7.9,6,0.05,8.82282891206644,0.51,0.62,1,-5.09,1.35524966053681
"P29401","TKT_HUMAN","Transketolase (TK) (EC 2.2.1.1)","TKT",9.75,9.35,9.85,9.9,9.85,9.32,9.85,8.27,7.93,7.95,8,0.08,9.20150801305559,0.51,0.62,1,-5.09,1.68137174302104
"Q9UIU6","SIX4_HUMAN","Homeobox protein SIX4 (Sine oculis homeobox homolog 4)","SIX4",2.83,2.03,2.69,3.3,2.7,2.1,2.57,2.01,2.42,2.39,1,0.15,2.50496028299972,0.51,0.62,1,-5.09,0.396518817306528
"Q9UHD8","SEPT9_HUMAN","Septin-9 (MLL septin-like fusion protein MSF-A) (MLL septin-like fusion protein) (Ovarian/Breast septin) (Ov/Br septin) (Septin D1)","SEPT9",10.36,10.18,10.23,10.35,10.23,10.34,10.25,9.34,9.38,9.34,20,0.04,10.000245550511,0.51,0.62,1,-5.09,0.940564265980857
"Q15942","ZYX_HUMAN","Zyxin (Zyxin-2)","ZYX",8.37,8.85,8.19,8.47,8.32,8.58,8.23,7.08,7.13,7.01,5,-0.07,8.02135917141366,-0.51,0.62,1,-5.1,1.39682599072002
"O75531","BAF_HUMAN","Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]","BANF1",8.1,8.24,8.27,7.91,8.09,8.27,8.31,6.74,6.48,6.8,4,-0.06,7.72114166684182,-0.51,0.62,1,-5.1,1.5300014688743
"Q8WUM4","PDC6I_HUMAN","Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)","PDCD6IP",7.57,7.6,7.67,7.67,7.6,7.66,7.77,6.9,7.43,6.98,3,0.06,7.48541901891228,0.51,0.62,1,-5.1,0.571976258911564
